Year,ChampionTeam,BetWinner,Prize,,Jeff's Total Winnings,Dan's Total Winnings
1997,Detroit Red Wings,Jeff,$2.00,,$826.00,$910.00
1998,Detroit Red Wings,Jeff,$4.00,,,
1999,Dallas Stars,Dan,$10.00,,,
2000,New Jersey Devils,Jeff,$20.00,,,
2001,Colorado Avalanche,Dan,$40.00,,,
2002,Detroit Red Wings,Jeff,$80.00,,,
2003,New Jersey Devils,Dan,$160.00,,,
2004,Tampa Bay Lightning,Jeff,$70.00,,,
2005,null,null,$0.00,,,
2006,Carolina Hurricanes,Dan,$100.00,,,
2007,Anaheim Ducks,Dan,$100.00,,,
2008,Detroit Red Wings,Dan,$100.00,,,
2009,Pittsburgh Penguins,Jeff,$100.00,,,
2010,Chicago Blackhawks,Jeff,$100.00,,,
2011,Boston Bruins,Dan,$100.00,,,
2012,Los Angeles Kings,Dan,$100.00,,,
2013,Chicago Blackhawks,Jeff,$100.00,,,
2014,Los Angeles Kings,Dan,$100.00,,,
2015,Chicago Blackhawks,Jeff,$100.00,,,
2016,Pittsburgh Penguins,Dan,$100.00,,,
2017,Pittsburgh Penguins,Jeff,$50.00,,,
2018,Washington Capitals,Jeff,$100.00,,,
2019,St. Louis Blues,Jeff,$100.00,,,
